0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,1.0,1.0,1.0,1.0,1.0,1.0,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,
75,76,80,20,21,45,4,9,29,1,5,25,96,84,81,49,46,34,95,97,79,89,51,55,56,77,85,24,74,16,22,40,41,70,8,14,28,33,54,6,26,30,50,52,60,15,17,65,3,13,53,2,10,50,
76,77,81,21,22,46,0,2,5,6,25,26,97,80,82,45,47,30,96,98,52,56,57,75,78,85,86,17,20,23,41,42,70,71,9,29,34,7,10,27,31,50,51,53,61,16,18,66,4,14,54,3,11,51,
77,78,82,22,23,47,1,3,6,7,26,27,98,81,83,46,48,31,97,99,53,57,58,76,79,86,87,18,21,24,42,43,71,72,5,8,11,25,28,30,32,51,52,54,62,17,19,67,0,4,10,12,50,52,
78,79,83,23,24,48,2,4,7,8,27,28,99,82,84,47,49,32,98,95,54,58,59,77,87,88,75,19,22,43,44,72,73,20,6,9,12,26,29,31,33,52,53,63,50,18,68,15,1,11,13,51,53,0,
79,84,75,24,49,20,3,8,9,28,29,0,95,83,80,48,45,33,99,96,59,78,88,89,50,55,76,23,44,73,74,15,21,40,7,13,27,32,34,53,5,25,54,64,51,19,69,16,2,12,14,52,54,1,
80,81,85,9,14,34,0,1,6,10,25,30,89,76,86,29,39,26,84,94,56,60,61,75,77,82,90,21,45,46,4,13,19,33,38,54,59,2,11,31,35,50,55,57,65,20,22,70,8,18,58,7,15,55,
81,82,86,1,2,5,7,10,11,26,30,31,77,85,87,25,27,35,57,61,62,76,78,80,83,90,91,22,46,47,14,34,39,0,3,12,15,32,36,50,51,55,56,58,66,21,23,71,9,19,59,8,16,56,
82,83,87,2,3,6,8,11,12,27,31,32,78,86,88,26,28,36,58,62,63,77,79,81,84,91,92,23,47,48,1,4,10,13,16,30,33,35,37,51,52,56,57,59,67,22,24,72,5,9,15,17,55,57,
83,84,88,3,4,7,9,12,13,28,32,33,79,87,89,27,29,37,59,63,64,78,82,92,93,75,80,24,48,49,2,11,14,17,31,34,36,38,52,53,57,0,58,68,55,23,73,20,6,16,18,56,58,5,
84,89,80,4,8,13,14,29,33,34,0,5,88,75,85,28,38,25,64,79,83,93,94,55,60,76,81,49,20,45,3,12,18,32,37,39,53,54,58,1,10,30,59,69,56,24,74,21,7,17,19,57,59,6,
85,86,90,14,19,39,5,6,11,15,30,35,94,81,91,34,44,31,89,99,61,65,66,80,82,87,95,9,18,24,38,43,59,64,1,7,16,25,26,36,40,55,60,62,70,13,23,63,0,2,12,20,50,60,
86,87,91,6,7,10,12,15,16,31,35,36,82,90,92,30,32,40,62,66,67,81,83,85,88,95,96,19,39,44,2,5,8,17,20,26,27,37,41,55,56,60,61,63,71,14,24,64,1,3,13,21,51,61,
87,88,92,7,8,11,13,16,17,32,36,37,83,91,93,31,33,41,63,67,68,82,84,86,89,96,97,3,6,9,15,18,21,27,28,35,38,40,42,56,57,61,62,64,72,2,4,10,14,20,22,52,60,62,
88,89,93,8,9,12,14,17,18,33,37,38,84,92,94,32,34,42,64,68,69,83,87,97,98,80,85,4,7,16,19,22,28,29,36,39,41,43,57,58,62,5,63,73,60,3,11,21,23,53,61,63,0,10,
89,94,85,9,13,18,19,34,38,39,5,10,93,80,90,33,43,30,69,84,88,98,99,60,65,81,86,8,17,23,29,37,42,44,58,59,63,0,6,15,25,35,64,74,61,4,12,22,24,54,62,64,1,11,
90,91,95,19,24,44,10,11,16,20,35,40,99,86,96,39,49,36,94,66,70,71,85,87,92,79,75,14,23,43,48,64,69,6,12,21,30,31,41,45,60,4,65,67,50,18,68,5,7,17,55,65,3,0,
91,92,96,11,12,15,17,20,21,36,40,41,87,95,97,35,37,45,67,71,72,86,88,90,93,75,76,24,44,49,7,10,13,22,31,32,42,46,60,61,65,0,66,68,51,19,69,6,8,18,56,66,4,1,
92,93,97,12,13,16,18,21,22,37,41,42,88,96,98,36,38,46,68,72,73,87,89,91,94,76,77,8,11,14,20,23,32,33,40,43,45,47,61,62,66,1,67,69,52,7,9,15,19,57,65,67,0,2,
93,94,98,13,14,17,19,22,23,38,42,43,89,97,99,37,39,47,69,73,74,88,92,85,90,77,78,9,12,21,24,33,34,41,44,46,48,62,63,67,10,2,68,65,53,8,16,58,66,68,5,15,1,3,
94,99,90,14,18,23,24,39,43,44,10,15,98,85,95,38,48,35,74,89,93,65,70,86,91,78,79,13,22,34,42,47,49,63,64,68,5,11,20,30,40,3,69,66,54,9,17,59,67,69,6,16,2,4,
95,96,75,24,49,15,16,21,40,45,4,0,91,79,76,44,41,29,99,71,90,92,97,84,50,51,80,19,48,69,74,11,17,35,36,46,65,3,9,28,1,25,70,72,55,23,73,10,12,22,60,70,8,5,
96,97,76,16,17,20,22,41,45,46,0,1,92,75,77,40,42,25,72,91,93,95,98,51,52,80,81,49,12,15,18,36,37,47,65,66,70,4,29,2,5,26,71,73,56,24,74,11,13,23,61,71,9,6,
97,98,77,17,18,21,23,42,46,47,1,2,93,76,78,41,43,26,73,92,94,96,99,52,53,81,82,13,16,19,37,38,45,48,66,67,71,0,3,6,25,27,72,74,57,12,14,20,24,62,70,72,5,7,
98,99,78,18,19,22,24,43,47,48,2,3,94,77,79,42,44,27,74,93,97,90,95,53,54,82,83,14,17,38,39,46,49,67,68,72,15,1,4,7,26,28,73,70,58,13,21,63,71,73,10,20,6,8,
99,95,79,19,23,44,48,49,15,20,3,4,90,78,75,43,40,28,94,98,70,91,96,54,83,84,50,18,39,47,68,69,73,10,16,35,45,2,8,27,29,0,74,71,59,14,22,64,72,74,11,21,7,9,
